SAP_HR_NUMBER;EMPLOYEE_GROUP;EMPLOYMENT_STATUS;AVAILABILITY_STATUS;AVAILABILITY_REASON;KAPIS_KEY;COMPANY_CODE;EMPLOYMENT_COMPANY;EMPLOYMENT_LOCATION;EMPLOYMENT_BUSINESS_UNIT;EMPLOYMENT_DIVISION;DEPARTMENT;DEPARTMENT_NAME;WORKING_COMPANY;WORKING_LOCATION;WORKING_DIVISION;WORKING_BUSINESS_UNIT;SHARED_SERVICE;SHARED_SERVICE_FUNCTION;POSITION;MANAGER;HRBP;COST_CENTER;START_DATE;END_DATE;EADS_CONTRACT_STATUS;PRIMARY_PIR;PREFERRED_LANGUAGE;COMPANY_CAR_CODE;COMPANY_COUNTRY;PERSONAL_SUBAREA;PERSONAL_SUBAREA_LABEL;PERSONAL_AREA;PERSONAL_AREA_LABEL;ORGANIZATIONAL_UNIT;WORKINGCOUNTRY;TEMPORARY_AGENCY;CORPID_ITERATION_NUMBER;WORKFORCEID;CLOCKNUMBER;BAND;JOB_TITLE;CORPORATE_ID;LAST_NAME;ICAO_LAST_NAME;BIRTH_NAME;FIRST_NAME;ICAO_FIRST_NAME;PRIMARY_LAST_NAME;SECOND_LAST_NAME;PREFIX;TITLE;PLACE_OF_BIRTH;DATE_OF_BIRTH;GENDER;NATIONALITY;ADDITIONAL_NATIONALITIES;INITIALS;GENDER_TITLE;PREFERRED_NAME;KPI_EADS_ID;KPI_EPS_CREATION;KPI_HRBP_SENT;EMPLOYMENT_SUB_BU;WORKING_SUB_BU;EEDB_SIGLUM;PRESUMED_LEAVE;Root Function
11168033;1;Active;AVAI;;2779;SAUD;;Blagnac;AI;AI;ZIOI;TESTS;2780;Blagnac;AI;AI;0;;80139092;16465;202626;515-10;01.01.2000;;1;1;FR;;FR;X301;Blagnac EADS;XFA1;Etablis. de détach. : GIE ATR;12002882;FR;;3;68033;;ZRO;Testeuse sprint3;00000001;SEPTEMBER;SEPTEMBER;SEPTEMBER;Sylvie;SEPTEMBER;SEPTEMBER;;;;BRUGUIERES;14.03.1971;1;FR;;;Mr;;10.03.2009;22.12.2008;0;AT;AT;;;12
11168034;1;Active;AVAI;;2779;AI;;Blagnac;AI;AI;ZIOI;TESTS;2780;Blagnac;AI;AI;0;;80139092;16465;202626;515-10;01.01.2000;;1;0;FR;;FR;X301;Blagnac EADS;XFA1;Etablis. de détach. : GIE ATR;12002882;FR;;3;68033;;ZRO;Testeuse sprint3;00000002;SEPTEMBER A;SEPTEMBER A;SEPTEMBER A;Sylvie;SEPTEMBER A;SEPTEMBER A;;;;BRUGUIERES;14.03.1971;1;FR;;;Mr;;10.03.2009;22.12.2008;0;AT;AT;;;12
11168035;1;Active;AVAI;;2779;10;;Blagnac;AD;AD;ZIOI;TESTS;2780;Blagnac;AI;AI;0;;80139092;16465;202626;515-10;01.01.2000;;1;0;DE;;DE;X301;Blagnac EADS;XFA1;Etablis. de détach. : GIE ATR;12002882;DE;;3;68033;;ZRO;Testeuse sprint3;00000002;SEPTEMBER A;SEPTEMBER A;SEPTEMBER A;Sylvie;SEPTEMBER A;SEPTEMBER A;;;;BRUGUIERES;14.03.1971;1;DE;;;Mr;;10.03.2009;22.12.2008;0;AT;AT;;;12
11168036;1;Active;AVAI;;2779;2009;;Blagnac;AD;AD;ZIOI;TESTS;2780;Blagnac;AI;AI;0;;80139092;16465;202626;515-10;01.01.2000;;1;0;DE;;DE;X301;Blagnac EADS;XFA1;Etablis. de détach. : GIE ATR;12002882;DE;;3;68033;;ZRO;Testeuse sprint3;00000002;SEPTEMBER A;SEPTEMBER A;SEPTEMBER A;Sylvie;SEPTEMBER A;SEPTEMBER A;;;;BRUGUIERES;14.03.1971;1;DE;;;Mr;;10.03.2009;22.12.2008;0;AT;AT;;;12
11168037;1;Active;AVAI;;2779;8030;;Blagnac;AD;AD;ZIOI;TESTS;2780;Bbremen;AD;AD;0;;80139092;16465;202626;515-10;01.01.2000;;1;1;DE;;DE;X301;Blagnac EADS;XFA1;Etablis. de détach. : GIE ATR;12002882;DE;;3;68033;;ZRO;Testeuse sprint3;00000002;SEPTEMBER A;SEPTEMBER A;SEPTEMBER A;Sylvie;SEPTEMBER A;SEPTEMBER A;;;;BRUGUIERES;14.03.1971;1;DE;;;Mr;;10.03.2009;22.12.2008;0;AT;AT;;;12
11168038;1;Active;AVAI;;2779;AI;;Blagnac;AI;AI;ZIOI;TESTS;2780;Blagnac;AI;AI;0;;80139092;16465;202626;515-10;01.01.2000;;1;0;FR;;FR;X301;Blagnac EADS;XFA1;Etablis. de détach. : GIE ATR;12002882;FR;;3;68033;;ZRO;Testeuse sprint3;00000003;SEPTEMBER Abis;SEPTEMBER Abis;SEPTEMBER Abis;Sylvie;SEPTEMBER Abis;SEPTEMBER Abis;;;;BRUGUIERES;14.03.1971;1;FR;;;Mr;;10.03.2009;22.12.2008;0;AT;AT;;;12
11168039;1;Active;AVAI;;2779;8030;;Blagnac;AD;AD;ZIOI;TESTS;2780;Bbremen;AD;AD;0;;80139092;16465;202626;515-10;01.01.2000;;1;1;DE;;DE;X301;Blagnac EADS;XFA1;Etablis. de détach. : GIE ATR;12002882;DE;;3;68033;;ZRO;Testeuse sprint3 Mandatory field LASTNAME;00000003;;ICAOLASTNAME;BIRTHNAME;Sylvie;PRIMARYLASTNAME;SECONDLASTNAME;;;;BRUGUIERES;14.03.1971;1;DE;;;Mr;;10.03.2009;22.12.2008;0;AT;AT;;;12
11168040;1;Active;AVAI;;2779;8030;;Blagnac;AD;AD;ZIOI;TESTS;2780;Bbremen;AD;AD;0;;80139092;16465;202626;515-10;01.01.2000;;1;1;DE;;DE;X301;Blagnac EADS;XFA1;Etablis. de détach. : GIE ATR;12002882;DE;;3;68033;;ZRO;Testeuse sprint3 Mandatory field ICAOLASTNAME;00000004;LASTNAME;;BIRTHNAME;Sylvie;PRIMARYLASTNAME;SECONDLASTNAME;;;;BRUGUIERES;14.03.1971;1;DE;;;Mr;;10.03.2009;22.12.2008;0;AT;AT;;;12
11168041;1;Active;AVAI;;2779;8030;;Blagnac;AD;AD;ZIOI;TESTS;2780;Bbremen;AD;AD;0;;80139092;16465;202626;515-10;01.01.2000;;1;1;DE;;DE;X301;Blagnac EADS;XFA1;Etablis. de détach. : GIE ATR;12002882;DE;;3;68033;;ZRO;Testeuse sprint3 Mandatory field BIRTHNAME;00000005;LASTNAME;ICOLASTNAME;;Sylvie;PRIMARYLASTNAME;SECONDLASTNAME;;;;BRUGUIERES;14.03.1971;1;DE;;;Mr;;10.03.2009;22.12.2008;0;AT;AT;;;12
11168042;1;Active;AVAI;;2779;8030;;Blagnac;AD;AD;ZIOI;TESTS;2780;Bbremen;AD;AD;0;;80139092;16465;202626;515-10;01.01.2000;;1;1;DE;;DE;X301;Blagnac EADS;XFA1;Etablis. de détach. : GIE ATR;12002882;DE;;3;68033;;ZRO;Testeuse sprint3 Mandatory field FIRSTNAME;00000006;LASTNAME;ICOLASTNAME;BIRTHNAME;;PRIMARYLASTNAME;SECONDLASTNAME;;;;BRUGUIERES;14.03.1971;1;DE;;;Mr;;10.03.2009;22.12.2008;0;AT;AT;;;12
